Cancer	Morbidity	Cohort	Positive	OR	Lower_CI	Upper_CI	pvalue
Bladder	Spondylosis	163|54634	15|1570	1.1288461445302118	0.839182966007401	1.5184931887779585	0.4230732
Urinary	Autonomic neuropathy	212|54634	0|87	0.5956780157084777	0.16754746411623253	2.1178016645613447	0.4234177
Urinary	Epilepsy	212|54634	3|418	1.342401266245165	0.6523866182619376	2.76222888264868	0.4238082
Urinary	Tinnitus	212|54634	10|1052	1.1603561687309945	0.8058003756841041	1.6709181069430379	0.424048
Male genital	Chronic ulcer of skin	222|24315	9|234	1.1728726546885644	0.793329240525107	1.7339966735698114	0.4240723
Skin	Diabetic neuropathy	159|54634	1|293	0.7571256917710627	0.38254473435189096	1.4984896187657502	0.4244107
Prostate	Trigeminal neuralgia	196|24315	0|28	0.5892410064436383	0.16070570916796634	2.160501736200425	0.4249274
Non-Melanoma Skin	Spinal stenosis	129|54634	3|306	1.3414874021888812	0.6517789553985208	2.761041048235656	0.4250407
Skin	Polymyalgia rheumatica	159|54634	0|71	0.5922917171565616	0.1631717617362828	2.149939882240436	0.4258683
Endocrine	Retinal detachments	164|54634	0|181	0.6021299458941816	0.17242255842148685	2.102743835039561	0.4265647
Ovarian	Atrial fibrillation and flutter	117|30319	2|122	1.458417582018811	0.5748038654149702	3.700361064910472	0.4269867
Non-Melanoma Skin	Retinal vascular occlusions	129|54634	0|85	0.5997022481641754	0.16912860451348208	2.126445656473783	0.4284995
Respiratory	Eyelid ptosis	149|54634	0|103	0.596121961179335	0.16557212806213942	2.1462633642476896	0.4286584
Uterine	Sarcoidosis	102|30319	0|58	0.598103776972531	0.16743698624850772	2.1364940688664324	0.4287814
Cervical	Urinary Incontinence	137|30319	5|1586	0.8556584409935263	0.5815223224825615	1.2590253879126494	0.4288977
Urinary	Meniere disease	212|54634	0|84	0.5969541316191099	0.1662539633551683	2.143433022982112	0.4289257
Colorectal	Visual impairment	241|54634	10|712	1.1591824822737546	0.803744569425456	1.6718047975999004	0.429157
Endocrine	Respiratory failure	164|54634	0|169	0.6020300006188505	0.1707716286554284	2.1223673071388256	0.4298923
Colorectal	Oesophagitis and oesophageal ulcer	241|54634	22|2028	1.1022094982858008	0.8655701294297211	1.4035440189136934	0.4299863
Thyroid	Pancreatitis	121|54634	0|255	0.6031990724530705	0.17187969062922834	2.1168825687097876	0.4299981
Bladder	Sarcoidosis	163|54634	0|98	0.6019234507386836	0.17048358202560504	2.1252007744343886	0.430284
Non-Melanoma Skin	Crohns disease	129|54634	0|253	0.6033070547511669	0.17169764276039523	2.119885843863693	0.4306168
Thyroid	Supraventricular tachycardia	121|54634	1|180	1.7862920662149318	0.4216133909685607	7.5681641384591325	0.4309569
Cervical	Other anaemias	137|30319	16|4124	0.9065772813196478	0.7101887920480704	1.157273074719677	0.4310617
Urinary	Neuromuscular bladder dysfunction	212|54634	5|477	1.2390165994315543	0.7265906989946431	2.112829321640203	0.4312443
Kidney	Cerebrovascular disease	182|54634	10|692	1.1581883302561675	0.8033275984901255	1.6698047108835365	0.4314164
Breast	Crohns disease	428|30319	3|110	1.333691951616632	0.6494829332292619	2.7386927828311425	0.4328174
Male genital	Macular degeneration	222|24315	2|55	0.7951170042498198	0.4482661939947475	1.4103473759937737	0.4329882
Urinary	Sjogrens disease	212|54634	1|77	1.7852206124434777	0.41905604879457325	7.605218071092397	0.4331792
All	Cardiomyopathy	2782|54634	14|111	1.1341528674861263	0.8277299211432522	1.5540125999678422	0.4333904
Respiratory	Female infertility	47|30319	1|1616	0.7568902622921035	0.3767795087714769	1.5204724668295915	0.4338426
Cervical	Ischemic stroke	137|30319	1|139	1.7802129642777018	0.419890414334921	7.547584060003232	0.4338885
Bladder	Eyelid ptosis	163|54634	0|103	0.6009154719574132	0.1677595189301799	2.15248235534156	0.4340034
Lymphoma	Lichen planus	193|54634	1|445	0.7621156219222117	0.38574731045964394	1.5057012853460807	0.4342385
Solid	Alopecia	2312|54634	16|566	0.9121420905516974	0.7240431130194127	1.1491072539677807	0.4351285
Lung	Retinal vascular occlusions	130|54634	2|85	1.4459651174976655	0.5724753736141911	3.6522359168398086	0.435338
Uterine	Chronic ulcer of skin	102|30319	3|272	1.3305122254410922	0.6491255042519555	2.727150251303463	0.4354688
Bladder	Ankylosing spondylitis	163|54634	1|106	1.772476994120004	0.42031039707753465	7.474653771424883	0.4356645
Urinary	Migraine	212|54634	14|4017	1.128360845034933	0.8324656826660098	1.529430249341296	0.4363941
Skin	Cholelithiasis	159|54634	9|1625	1.1652946808871618	0.7926000937057766	1.7132368568808	0.4365999
Urinary	Spondylolisthesis	212|54634	2|88	1.4457048671997454	0.5708363459221149	3.6614041449459522	0.4368903
Kidney	Rheumatic valve disorder	182|54634	0|79	0.5998317978406403	0.16531119352882365	2.1764901578670197	0.4369962
Bladder	Non-malignant CNS tumour	163|54634	1|89	1.769070026936733	0.4195748593534043	7.458999724218202	0.4371538
Lymphoma	Fibromyalgia	193|54634	3|585	1.3269326493596736	0.6498275623370241	2.709565364701311	0.4373975
Thyroid	Ulcerative colitis	121|54634	0|293	0.6039656219309737	0.16906340785814475	2.1576193044714764	0.4376246
Kidney	Pulmonary hypertension	182|54634	1|60	1.7681096826691713	0.4192764128603684	7.456207299191907	0.4376439
Kidney	Spondylosis	182|54634	16|1570	1.119547963702501	0.8415368461797547	1.4894031660292735	0.438115
Ovarian	Congenital cardiac disease	117|30319	0|132	0.6015443583913461	0.1662768281723577	2.1762239458727666	0.438501
Urinary	Rosacea	212|54634	1|477	0.7620500827969492	0.3830636789671322	1.515989013254019	0.4387149
Gynaecological	Aplastic anaemias	361|30319	1|29	1.7663389240653515	0.41831748552881537	7.458337991117585	0.4388596
Uterine	Ulcerative colitis	102|30319	0|115	0.6008643963130424	0.16536516652383212	2.1832773512467933	0.4390351
Non-Melanoma Skin	Cardiomyopathy	129|54634	0|111	0.6007292170321115	0.16512394256594515	2.1854831382304942	0.439271
Bladder	Pulmonary hypertension	163|54634	1|60	1.761273276427394	0.4184271158058549	7.413677166411502	0.4401782
Uterine	Congenital cardiac disease	102|30319	0|132	0.6007382280379493	0.164591650175459	2.192616807969668	0.4404315
Lung	Meniere disease	130|54634	0|84	0.5943273601868192	0.15840817358780207	2.2298408160791565	0.4405369
Thyroid	Thrombocytopenia	121|54634	0|247	0.6040519951904507	0.16767277614060824	2.1761362893376415	0.4407636
Prostate	Seborrheic dermatitis	196|24315	10|965	1.1542560224247846	0.8012830047659807	1.6627171141524375	0.4410926
Breast	Respiratory failure	428|30319	4|95	1.2687700923277427	0.6922964909466075	2.3252718571261703	0.4411855
Non-Melanoma Skin	Female infertility	59|30319	4|1616	1.2701919109009234	0.6910525561517562	2.3346813149821224	0.4412375
Respiratory	Chronic viral hepatitis	149|54634	3|616	1.3232568388965986	0.6478890088106717	2.702636775550401	0.4420422
Colorectal	Lupus erythematosus	241|54634	0|117	0.5991447843342429	0.161901745015939	2.2172365872868505	0.4429071
Bladder	Gestational diabetes	163|54634	2|3285	0.8034534737190647	0.4593136173676842	1.405439464500949	0.443057
Uterine	Tuberculosis	102|30319	2|679	0.8073701837233582	0.46701809254374516	1.3957630849268037	0.4436039
Urinary	Cervical dysplasia	67|30319	0|196	0.6016339951785212	0.16378943647948416	2.2099316777355638	0.4440104
Urinary	Polycystic ovarian syndrome	67|30319	0|196	0.6016339951785212	0.16378943647948416	2.2099316777355638	0.4440104
Uterine	Chronic sinusitis	102|30319	11|3635	0.8936741997849847	0.6699083546884539	1.19218333339454	0.4445641
Thyroid	Bipolar disorder	121|54634	0|235	0.6040060889832741	0.16573790233511454	2.201206545930662	0.4447807
Non-Melanoma Skin	Non-diabetic peripheral neuropathies	129|54634	5|691	1.2302101396059069	0.7229919435281856	2.093269504780014	0.4448842
Kidney	Chronic viral hepatitis	182|54634	4|616	1.2624029399948251	0.6938480295833647	2.2968447195339365	0.4454201
Thyroid	Hearing loss	121|54634	7|2216	1.1875376954978745	0.7636488621361411	1.846720198447684	0.4454602
Bladder	Diverticular disease	163|54634	6|409	1.2055706218991218	0.7454652193428659	1.9496557138741106	0.4458938
Non-Melanoma Skin	Vitiligo	129|54634	2|461	1.4248919695432727	0.5732531398387924	3.5417461916385875	0.4459231
Lung	Eyelid ptosis	130|54634	0|103	0.5961469988274916	0.1576374851348072	2.2544843563515657	0.4459517
Respiratory	Type 1 Diabetes	149|54634	2|422	0.8077537756564986	0.46613592632326795	1.399733694061676	0.4465778
Digestive	Hypertrophic cardiomyopathy	534|54634	4|74	1.2679063540311382	0.6877772898957101	2.3373649380547263	0.4468836
Lymphoma	Trigeminal neuralgia	193|54634	1|86	1.7378452782338152	0.4164959921960702	7.251225144221358	0.448298
Breast	Dementia	428|30319	3|54	1.32137782628317	0.6427639046558259	2.7164552134080537	0.4484943
Colorectal	Intracerebral haemorrhage	241|54634	0|45	0.5962149634592683	0.15644512022338392	2.27218517359421	0.4486768
Respiratory	Chronic kidney disease	149|54634	0|68	0.5962572962244692	0.1560342288649133	2.2784921352654512	0.4496527
Respiratory	Portal hypertension	149|54634	0|68	0.5962572962244692	0.1560342288649133	2.2784921352654512	0.4496527
Solid	Osteoporosis	2312|54634	49|323	1.0664892722058905	0.9024944377066696	1.2602840751246047	0.4498502
Bladder	Neuromuscular bladder dysfunction	163|54634	4|477	1.25980002745647	0.692021233213963	2.2934211162977642	0.4498949
Digestive	Vitiligo	534|54634	7|461	1.1834181638377712	0.764211909362165	1.8325788087626702	0.4503819
Solid	Polymyalgia rheumatica	2312|54634	12|71	1.1434762903671252	0.8070308043526442	1.6201835414208225	0.4507835
Non-Melanoma Skin	Polymyalgia rheumatica	129|54634	0|71	0.5959634138253942	0.1550755037034854	2.2903191164062324	0.451133
Urinary	Liver failure and transplant	212|54634	0|84	0.5985405521332582	0.15737149791291566	2.276465543628682	0.4514184
Kidney	Trigeminal neuralgia	182|54634	0|86	0.6014276701049479	0.1597833825669386	2.263785110546971	0.4521448
Uterine	Enthesopathies	102|30319	28|3843	1.094012139091578	0.8654909506959714	1.382871258812459	0.452285
Prostate	Pulmonary hypertension	196|24315	0|23	0.5887433081003575	0.14786592026335113	2.344141788828826	0.4523503
Gynaecological	Cardiac conduction defects	361|30319	2|138	0.8086007453479858	0.4645932627197018	1.4073281251428513	0.4523908
Prostate	Obesity	196|24315	22|1397	0.9206147735381753	0.7418504544465696	1.142456078818494	0.4527038
Kidney	Autonomic neuropathy	182|54634	0|87	0.6005880622524451	0.15845954418175684	2.2763287776873105	0.453259
Thyroid	Fatty liver disease	121|54634	7|2125	1.1829720992784571	0.7619051851305113	1.8367416510383299	0.454123
Bladder	Bronchiectasis	163|54634	3|204	1.311800997129077	0.644142077483357	2.671494249827675	0.4545104
Bladder	Chronic kidney disease	163|54634	0|68	0.6005532291550041	0.15743620978439843	2.290859145697268	0.4553764
Bladder	Portal hypertension	163|54634	0|68	0.6005532291550041	0.15743620978439843	2.290859145697268	0.4553764
Bladder	Rheumatic valve disorder	163|54634	0|79	0.6001125848210581	0.15687145609197908	2.2957338666471747	0.45569
Prostate	Fatty liver disease	196|24315	9|1022	0.8898921530025803	0.6548417471128287	1.2093120932913317	0.4559825
Cervical	Tinnitus	137|30319	4|640	1.2558705532052439	0.6895450546077416	2.287320945699866	0.456395
Secondary	Parkinsons disease	479|54634	2|34	1.4192264930594238	0.5647743094154943	3.5663871479676965	0.4564385
Male genital	Pulmonary hypertension	222|24315	0|23	0.5894189841008578	0.1465181335040882	2.3711381691112896	0.4566801
Urinary	Psoriatic arthropathy	212|54634	1|78	1.7160428987073464	0.4139078642688529	7.114634643160879	0.4567173
Breast	Oesophagitis and oesophageal ulcer	428|30319	22|1052	0.9250134509572816	0.7532287141877125	1.135976189349922	0.4570851
Colorectal	Respiratory failure	241|54634	3|169	1.3111531274734753	0.6419200472765245	2.6780944620396268	0.4572032
Ovarian	Ulcerative colitis	117|30319	0|115	0.6014517276929007	0.15705088780576387	2.3033564839962586	0.4580235
Ovarian	Folate deficiency	117|30319	3|990	0.8360130967928423	0.5207310652707262	1.342185908662456	0.4583588
Skin	Interstitial pulmonary diseases with fibrosis	159|54634	0|66	0.5979548676720421	0.1535761413632206	2.3281612664499316	0.4584014
Uterine	Sjogrens disease	102|30319	0|68	0.6008085185225429	0.15611884107397866	2.312154468006861	0.4587096
Male genital	Visual impairment	222|24315	8|349	0.8824651332679535	0.6339246374409416	1.2284499851233137	0.4587723
Uterine	Scoliosis	102|30319	0|99	0.6006691471139542	0.1557788353136782	2.316126087141985	0.4591543
Colorectal	Sleep apnoea	241|54634	7|621	1.1790723674072559	0.7620983068519817	1.824189392738495	0.4594029
Cervical	Crohns disease	137|30319	1|110	1.7032207202401983	0.4153499255265291	6.984377854836646	0.4595203
Gynaecological	Thyroid disease	361|30319	31|2354	0.9353246413096811	0.7834405449372354	1.1166542123642196	0.4595676
Thyroid	Hyperprolactinaemia and prolactinoma	121|54634	0|192	0.6036184415222964	0.15836386985009573	2.3007471545794997	0.4596271
Lymphoma	Coronary heart disease	193|54634	29|2984	1.0927654573189274	0.8637831547301472	1.3824492156049304	0.4596433
Uterine	Nasal polyp	102|30319	2|278	1.4071030269397877	0.5689874849005899	3.479758309216654	0.4597113
Skin	Somatoform and dissociative disorders	159|54634	10|2700	1.1451779044474235	0.7994294765837455	1.6404604424130351	0.4597565
Kidney	Parkinsons disease	182|54634	1|34	1.7072433607582767	0.4132885589664165	7.0524088548264405	0.4598638
Male genital	Vitiligo	222|24315	1|216	0.7656332575008298	0.3769380909521188	1.5551473811273542	0.4601218
Endocrine	Scoliosis	164|54634	0|161	0.6038146493978438	0.15817458620670424	2.30499816418668	0.4604259
Cervical	Iron deficiency	137|30319	20|4954	0.9185473722408949	0.7330005989312356	1.1510621905096223	0.4605196
Kidney	Meniere disease	182|54634	0|84	0.6014294743906647	0.15556537775464363	2.3251794061550686	0.461144
Urinary	Retinal detachments	212|54634	3|181	1.3068948761506514	0.6410805287993913	2.664211656073071	0.4614024
Lung	Chronic kidney disease	130|54634	0|68	0.5961297108152029	0.15034211127444577	2.363746452036297	0.4617174
Lung	Portal hypertension	130|54634	0|68	0.5961297108152029	0.15034211127444577	2.363746452036297	0.4617174
Non-Melanoma Skin	Diabetic neuropathy	129|54634	1|293	0.7683583907972351	0.3807410932981909	1.5505933746062546	0.4620029
Kidney	Intracerebral haemorrhage	182|54634	1|45	1.6994335675816548	0.41355248661920363	6.983574138879815	0.4620694
Colorectal	Hidradenitis suppurativa	241|54634	0|151	0.6004817675727832	0.15420609685744593	2.338288566636029	0.4621354
Skin	Learning disability	159|54634	0|264	0.6034313488062938	0.15689660146405784	2.3208239651105407	0.4623565
Endocrine	Obsessive-compulsive disorder	164|54634	0|172	0.6044024469688525	0.15782168803426863	2.3146522030775425	0.4623621
Gynaecological	Non-spinal osteoarthritis	361|30319	59|2445	1.063553648910683	0.902172156740326	1.253803229971337	0.4630391
Lymphoma	Sleep apnoea	193|54634	2|621	0.8149137496433404	0.4712291995877019	1.4092599099096663	0.4639292
Endocrine	Gastro-oesophageal reflux disease	164|54634	19|6440	0.9172915668105108	0.7278781217350843	1.1559954797596228	0.4644283
Uterine	Neuromuscular bladder dysfunction	102|30319	3|273	1.3022193484649238	0.6414719638079814	2.6435687406348203	0.4647913
Gynaecological	Post-traumatic stress disorders	361|30319	30|1965	1.0775791528291916	0.8818129502613027	1.3168062799123026	0.4651282
Thyroid	Other haemolytic anaemias	121|54634	0|192	0.6038418216684383	0.15589880002959766	2.338856652691575	0.4652945
Lung	Alllergic and chronic rhinitis	130|54634	33|11166	1.0809281821974714	0.8771487751546855	1.3320496683845697	0.4652971
Skin	Fibromyalgia	159|54634	3|585	1.3003585056163587	0.6421165305521302	2.6333728578438005	0.4656779
Endocrine	Gastritis and duodenitis	164|54634	25|6346	1.0910634905729715	0.8627945682313427	1.3797253532802578	0.4667817
Respiratory	Trigeminal neuralgia	149|54634	0|86	0.5991363963659782	0.15067009404356352	2.3824530257917167	0.4670076
Respiratory	Barretts oesophagus	149|54634	0|57	0.5979937360016477	0.14918934022172015	2.396930690663023	0.4679132
Lymphoma	Sarcoidosis	193|54634	0|98	0.6026202792087241	0.15344023750182884	2.3667273123796626	0.4680504
Ovarian	Scoliosis	117|30319	0|99	0.5993844901859509	0.15035067500499674	2.3894922125459868	0.4681848
Thyroid	Crohns disease	121|54634	0|253	0.6043831064000003	0.15498940488188237	2.3567994185156955	0.468301
Uterine	Dermatitis	102|30319	26|6763	1.0912934018707399	0.8617239355461938	1.3820218283849346	0.4684539
Bladder	Trigeminal neuralgia	163|54634	0|86	0.6015924838650106	0.1522524379062202	2.377062210759433	0.4685219
Breast	Subdural haematoma	428|30319	1|17	1.6879199971546133	0.4095769668968377	6.956138032810915	0.4687284
Respiratory	Subdural haematoma	149|54634	0|48	0.5825344230054575	0.13499239978734642	2.5138182188099014	0.4688519
Skin	Type 2 Diabetes	159|54634	44|8982	0.9306805372100982	0.7662002104871128	1.13046988304925	0.4690448
Urinary	Diabetic eye	212|54634	38|3243	1.0741857148578633	0.8849687936573764	1.303859478746131	0.4691386
Non-Melanoma Skin	Hypertrophic cardiomyopathy	129|54634	1|74	1.6802305228767853	0.4120395413859914	6.851707970818497	0.4692951
Lung	Barretts oesophagus	130|54634	0|57	0.5974288988487155	0.14802219651657839	2.411268698742852	0.4693038
Cervical	Spinal stenosis	137|30319	0|136	0.6018957628967748	0.15215403547306317	2.380998363051811	0.469335
Urinary	Hip fracture	212|54634	1|55	1.6900988189888777	0.40786916093129755	7.003309618764593	0.4693477
Respiratory	Non-spinal osteoarthritis	149|54634	43|4019	1.0762176303740505	0.8816158518249142	1.3137744580368094	0.4704082
Bladder	Autonomic neuropathy	163|54634	0|87	0.6007544481890774	0.15033499725405935	2.4006779100747124	0.4709363
Lymphoma	Chronic sinusitis	193|54634	19|6315	0.9214958549846092	0.737706551610573	1.1510737011890806	0.4713068
Haematopoietic	Glaucoma	515|54634	13|449	1.1247176203317342	0.8166394754770504	1.5490185858891024	0.4717223
Cervical	Eating disorders	137|30319	2|301	1.388851296380932	0.5669778280427535	3.402087044775134	0.4723792
Lung	Hyperplasia of prostate	93|24315	21|776	1.1061416842457044	0.8395805643544978	1.4573341470411907	0.4733245
Respiratory	Sarcoidosis	149|54634	0|98	0.5987512754927445	0.14729146207859678	2.4339706106854058	0.4734808
Ovarian	Polymyalgia rheumatica	117|30319	1|52	1.674251165599824	0.4085511329725839	6.861116612545227	0.4739055
Lymphoma	Intervertebral disc disorders	193|54634	7|1731	0.8836961474812898	0.6295367799252565	1.240465856762158	0.4748618
Digestive	Rheumatoid Arthritis	534|54634	20|819	1.0942625871329008	0.8544085703381744	1.4014496707644852	0.4754874
Uterine	Trigeminal neuralgia	102|30319	0|58	0.5999217793587616	0.14741288615728593	2.441483582140652	0.4755224
Gynaecological	Hip fracture	361|30319	1|21	1.6674324696057168	0.4086751552331298	6.80327885141286	0.4760413
Non-Melanoma Skin	Interstitial pulmonary diseases with fibrosis	129|54634	0|66	0.5991124313894262	0.14631479620703602	2.453174352493062	0.4762795
Endocrine	Urticaria	164|54634	11|2573	1.1311864074012798	0.8057991186364986	1.5879673465697135	0.4762797
Prostate	Hip fracture	196|24315	0|34	0.5880237151553297	0.13632615851794946	2.53635760989737	0.4764667
Male genital	Hip fracture	222|24315	0|34	0.589635340567006	0.13719932548397437	2.5340491552648254	0.4776435
Secondary	Eyelid ptosis	479|54634	1|103	0.7696064489907609	0.37353498903062327	1.5856455318021383	0.4776682
Colorectal	Hip fracture	241|54634	0|55	0.5959622218997586	0.14278265214997052	2.487493855756694	0.4777187
Thyroid	Bronchiectasis	121|54634	1|204	1.6573003776202213	0.4105025574597696	6.690931619663068	0.4780051
Urinary	Spondylosis	212|54634	18|1570	1.101585383591938	0.842666879341855	1.4400593960583394	0.4790985
Urinary	Obsessive-compulsive disorder	212|54634	1|172	1.654295105544253	0.41024676273491967	6.670844342520701	0.479212
Gynaecological	Lichen planus	361|30319	3|250	0.842915974774223	0.5249463143501104	1.3534857205525765	0.4794006
Lung	Subdural haematoma	130|54634	0|48	0.5831417402315537	0.13066908243600958	2.602408181497824	0.4797433
Kidney	Cervical dysplasia	57|30319	0|196	0.6014745832928067	0.14680504454596466	2.464300020930035	0.479857
Kidney	Polycystic ovarian syndrome	57|30319	0|196	0.6014745832928067	0.14680504454596466	2.464300020930035	0.479857
Cervical	Gout	137|30319	0|130	0.6011889507088517	0.14632033286367738	2.4701157206301794	0.4803282
Skin	Eyelid ptosis	159|54634	0|103	0.601581053716404	0.1466107505031971	2.4684394762896127	0.4804772
Endocrine	Bone and joint infections	164|54634	1|173	1.647084903069313	0.41114867098659336	6.598315571369827	0.4809671
Urinary	Endometriosis	67|30319	1|735	0.7739832859541925	0.37952472984029473	1.5784218519529194	0.4810222
Cervical	Gastrointestinal polyp	137|30319	1|504	0.7749800437192542	0.3813117030844248	1.575073786891146	0.4811269
Breast	Spondylolisthesis	428|30319	1|53	0.7720878037479022	0.3758367971320528	1.58611285868001	0.4813223
Lymphoma	Hidradenitis suppurativa	193|54634	0|151	0.6042102775472739	0.14853010708136014	2.4578859240556516	0.4815634
Gynaecological	Chronic sinusitis	361|30319	42|3635	0.9455170105334841	0.8088475291339982	1.1052792831862275	0.4818459
Cervical	Gestational diabetes	137|30319	14|3284	0.910731733355559	0.7017369221265085	1.1819704279309555	0.4820346
Breast	Sjogrens disease	428|30319	3|68	1.2872806884777457	0.6364665597952116	2.6035799452856123	0.4822331
Kidney	Liver failure and transplant	182|54634	0|84	0.6024425324452942	0.14657515187110579	2.476115496153511	0.4822335
Colorectal	Chronic fatigue	241|54634	10|1308	1.1363813961502736	0.7952456327796222	1.6238538437523313	0.4826741
Uterine	Alllergic and chronic rhinitis	102|30319	19|6397	0.917077220818652	0.7201580911734502	1.1678416715058473	0.4827411
Lymphoma	Obsessive-compulsive disorder	193|54634	0|172	0.6044798154335407	0.14813371105674578	2.466662346200148	0.4829237
Urinary	Coeliac disease	212|54634	0|106	0.5979554656272088	0.14196268465988235	2.5186248043285517	0.4833446
Male genital	Hidradenitis suppurativa	222|24315	0|69	0.5990926610054035	0.1428879046051388	2.5118432344736576	0.4835636
Male genital	Asthma	222|24315	43|2545	1.0663734577597672	0.8907978617252883	1.2765548731921033	0.4838381
Solid	Nasal polyp	2312|54634	27|590	0.9353998444339675	0.7757069995491359	1.1279682528011876	0.4844221
Lymphoma	Rheumatic valve disorder	193|54634	0|79	0.6002938461907633	0.14354023210152717	2.5104648118418775	0.4844966
Digestive	Post-traumatic stress disorders	534|54634	35|2948	1.067959587070041	0.887956858447094	1.284451681142984	0.4850704
Bladder	Meniere disease	163|54634	0|84	0.601804281693562	0.14461080046996508	2.5044353000447206	0.485149
Prostate	Cardiac conduction defects	196|24315	6|228	0.8761981631382948	0.6044584897618392	1.2701008160037757	0.4853465
Breast	Non-acute cystitis	428|30319	3|84	1.2837403946838497	0.6361745904676407	2.5904671856378902	0.4855981
Gynaecological	Ankylosing spondylitis	361|30319	0|35	0.6011631001397625	0.14378218050154354	2.5135039106307784	0.4856639
Cervical	Learning disability	137|30319	0|123	0.6036105945335621	0.14579760006537726	2.4989831771564393	0.4861444
Cervical	Lupus erythematosus	137|30319	0|97	0.6037192542196566	0.1456550272805046	2.5023299553789045	0.4866552
Respiratory	Retinal vascular occlusions	149|54634	2|85	1.3764049620118926	0.5592861503120444	3.387336908653933	0.4868645
Haematopoietic	Macular degeneration	515|54634	6|110	1.1924344813418595	0.7256477897211887	1.959490557863282	0.4873623
Gynaecological	Gastritis and duodenitis	361|30319	62|3530	1.054003530780308	0.9085905957268683	1.2226886874265104	0.4874333
Lung	Trigeminal neuralgia	130|54634	0|86	0.599031556670355	0.14095909176864593	2.5456946507279254	0.4875634
Male genital	Nephritides	222|24315	6|154	1.1855170398790613	0.733024846992109	1.9173301663793965	0.4878032
Uterine	Eyelid ptosis	102|30319	0|58	0.5989279331747418	0.14073430611871218	2.5488786567390687	0.4878444
Cervical	Thrombophilia	137|30319	0|95	0.6038243105095229	0.14446057009220906	2.523898373996271	0.4893701
Skin	Psychoactive substance misuse	159|54634	14|2298	1.114806670285674	0.8191196770338061	1.517231177517104	0.4894769
Skin	Sarcoidosis	159|54634	0|98	0.6022317144542388	0.14287707411245057	2.5384271069901967	0.4896403
Gynaecological	Nephritides	361|30319	4|178	1.2306198677983535	0.6825318270295347	2.2188346375157453	0.4901898
Kidney	Dysmenorrhoea	57|30319	4|1786	1.2341802691197779	0.6786433412804962	2.244479307511542	0.4904766
Respiratory	Retinal detachments	149|54634	1|181	0.7744416197128842	0.37424392809839435	1.6025906562893648	0.4908777
Uterine	Coeliac disease	102|30319	0|78	0.6007027855280594	0.14078415740771238	2.563099734980565	0.4911391
Cervical	Obsessive-compulsive disorder	137|30319	0|104	0.6039837411714188	0.14371379096114195	2.5383531890690914	0.4912472
Cervical	Supraventricular tachycardia	137|30319	0|112	0.6033444609481415	0.14312816376638057	2.543346669010431	0.4912497
Thyroid	Tinnitus	121|54634	4|1052	1.23106789496623	0.6808359347453403	2.2259814511457185	0.4915227
Skin	Intervertebral disc disorders	159|54634	10|1731	1.1339464704469442	0.7924816246983636	1.622541845469918	0.4916685
Kidney	Diabetic eye	182|54634	33|3243	1.07512431848976	0.8745003187758416	1.3217745898893816	0.4918313
Male genital	End stage renal disease	222|24315	1|83	0.7737743386761368	0.3723746231375844	1.6078612504495944	0.4918814
Lymphoma	Cholelithiasis	193|54634	9|1625	1.1420535482263745	0.7818235212941069	1.6682617898954266	0.4920792
Lymphoma	Peripheral arterial disease	193|54634	4|323	1.2312735004722712	0.6798294507432624	2.230021708103038	0.4923759
Breast	Bipolar disorder	428|30319	4|144	1.2299247639583735	0.6809253752280507	2.22155757448668	0.4926846
Urinary	Lupus erythematosus	212|54634	0|117	0.5996009070478012	0.13903580348367234	2.585817744238565	0.4927516
Breast	Intervertebral disc disorders	428|30319	27|857	1.0769137377211027	0.8712727372272595	1.3310908845641212	0.4930968
Haematopoietic	Ulcerative colitis	515|54634	5|293	1.2013080442378334	0.7106237027391414	2.0308090084637698	0.4935315
Breast	Adrenal insufficiency	428|30319	0|21	0.5960772537087977	0.13541255466745253	2.623893281251443	0.4938234
Breast	Subarachnoid haemorrhage	428|30319	1|22	1.6226879457150187	0.40507294377771086	6.500350639596863	0.4941713
Lung	Sarcoidosis	130|54634	0|98	0.5988297170476438	0.13751765089070928	2.607643656626686	0.494522
Ovarian	Spondylolisthesis	117|30319	1|53	1.6207548540352559	0.4053650904676412	6.48019861268378	0.4946406
Endocrine	Macular degeneration	164|54634	1|110	1.620223333617246	0.405607214351774	6.472083232033125	0.4946458
Colorectal	Urinary calculus	241|54634	13|1373	1.1140555437479795	0.8170274060074363	1.5190674699892628	0.4948049
Bladder	Hyperparathyroidism	163|54634	1|74	1.6154426406190723	0.4072444905556352	6.408079140787802	0.4951142
Urinary	Hidradenitis suppurativa	212|54634	1|151	1.6147739857869567	0.4068749129366134	6.408591294938141	0.4956415
Cervical	Ulcerative colitis	137|30319	1|115	1.610381326967177	0.4080962440976545	6.354697098422698	0.4963053
Uterine	Other haemolytic anaemias	102|30319	0|144	0.601098779129283	0.13858660526586597	2.6071765130371367	0.4965508
Cervical	Cardiac conduction defects	137|30319	0|138	0.6016725009863854	0.1388929981194001	2.6063934348368547	0.4969896
Ovarian	Diabetic neuropathy	117|30319	2|129	1.3635219207518754	0.5571526829561976	3.3369524822283783	0.4971076
Respiratory	Sjogrens disease	149|54634	0|77	0.5964493219883423	0.13377786211794948	2.6592725288635077	0.4980396
Lymphoma	Aortic aneurysm	193|54634	1|41	1.6115573345263976	0.40511285353005394	6.4108482854473445	0.4981678
